datetime,Q,year,month,day
1921-10-01,7120,1921,10,1
1921-10-02,11800,1921,10,2
1921-10-03,7830,1921,10,3
1921-10-04,7470,1921,10,4
1921-10-05,6780,1921,10,5
1921-10-06,6950,1921,10,6
1921-10-07,6950,1921,10,7
1921-10-08,7120,1921,10,8
1921-10-09,6780,1921,10,9
1921-10-10,6780,1921,10,10
1921-10-11,6780,1921,10,11
1921-10-12,6780,1921,10,12
1921-10-13,6950,1921,10,13
1921-10-14,7120,1921,10,14
1921-10-15,6780,1921,10,15
1921-10-16,6780,1921,10,16
1921-10-17,6450,1921,10,17
1921-10-18,6450,1921,10,18
1921-10-19,6130,1921,10,19
1921-10-20,6290,1921,10,20
1921-10-21,6450,1921,10,21
1921-10-22,6130,1921,10,22
1921-10-23,6130,1921,10,23
1921-10-24,6130,1921,10,24
1921-10-25,6130,1921,10,25
1921-10-26,6780,1921,10,26
1921-10-27,7120,1921,10,27
1921-10-28,7650,1921,10,28
1921-10-29,7650,1921,10,29
1921-10-30,6780,1921,10,30
1921-10-31,6450,1921,10,31
1921-11-01,6780,1921,11,1
1921-11-02,6780,1921,11,2
1921-11-03,6780,1921,11,3
1921-11-04,6780,1921,11,4
1921-11-05,6950,1921,11,5
1921-11-06,7120,1921,11,6
1921-11-07,7300,1921,11,7
1921-11-08,7300,1921,11,8
1921-11-09,7120,1921,11,9
1921-11-10,7120,1921,11,10
1921-11-11,7120,1921,11,11
1921-11-12,7120,1921,11,12
1921-11-13,6950,1921,11,13
1921-11-14,6950,1921,11,14
1921-11-15,6780,1921,11,15
1921-11-16,6450,1921,11,16
1921-11-17,6450,1921,11,17
1921-11-18,6780,1921,11,18
1921-11-19,6780,1921,11,19
1921-11-20,6950,1921,11,20
1921-11-21,6950,1921,11,21
1921-11-22,6950,1921,11,22
1921-11-23,7120,1921,11,23
1921-11-24,6950,1921,11,24
1921-11-25,6620,1921,11,25
1921-11-26,6620,1921,11,26
1921-11-27,7120,1921,11,27
1921-11-28,7470,1921,11,28
1921-11-29,7470,1921,11,29
1921-11-30,7650,1921,11,30
1921-12-01,7650,1921,12,1
1921-12-02,7470,1921,12,2
1921-12-03,7470,1921,12,3
1921-12-04,7300,1921,12,4
1921-12-05,7120,1921,12,5
1921-12-06,7120,1921,12,6
1921-12-07,7120,1921,12,7
1921-12-08,7470,1921,12,8
1921-12-09,6950,1921,12,9
1921-12-10,6450,1921,12,10
1921-12-11,5830,1921,12,11
1921-12-12,5830,1921,12,12
1921-12-13,5550,1921,12,13
1921-12-14,5280,1921,12,14
1921-12-15,5020,1921,12,15
1921-12-16,5020,1921,12,16
1921-12-17,5150,1921,12,17
1921-12-18,5420,1921,12,18
1921-12-19,5980,1921,12,19
1921-12-20,6130,1921,12,20
1921-12-21,6450,1921,12,21
1921-12-22,7300,1921,12,22
1921-12-23,7470,1921,12,23
1921-12-24,8020,1921,12,24
1921-12-25,8580,1921,12,25
1921-12-26,9810,1921,12,26
1921-12-27,10500,1921,12,27
1921-12-28,11800,1921,12,28
1921-12-29,10700,1921,12,29
1921-12-30,9180,1921,12,30
1921-12-31,8780,1921,12,31
1922-01-01,8580,1922,1,1
1922-01-02,8390,1922,1,2
1922-01-03,8200,1922,1,3
1922-01-04,8580,1922,1,4
1922-01-05,10000,1922,1,5
1922-01-06,8980,1922,1,6
1922-01-07,8980,1922,1,7
1922-01-08,8390,1922,1,8
1922-01-09,7300,1922,1,9
1922-01-10,6620,1922,1,10
1922-01-11,5280,1922,1,11
1922-01-12,4430,1922,1,12
1922-01-13,3900,1922,1,13
1922-01-14,3700,1922,1,14
1922-01-15,3700,1922,1,15
1922-01-16,4110,1922,1,16
1922-01-17,4110,1922,1,17
